object,logbhmass, bhulimit, lognscmass, nsculimit, logmstar, galtype, sources
MW, 6.62, 0, 7.40, 0, 10.78, 1, Gravity19;Schoedel14;Bland-Hawthorn16
M31, 8.15, 0, 7.69, 0, 10.95, 1, Bender05;Peng02;Williams17
NGC205, 3.83, 0, 6.30, 0, 9.03, 2, Nguyen19;Nguyen18;Nguyen18
M32, 6.40, 0, 7.22, 0, 9.03, 2, Nguyen18;Nguyen18;Nguyen18
NGC404, 5.58, 0, 7.08, 0, 8.86, 2, Davis20_unpub;Nguyen17;Seth10
NGC5102, 5.96, 0, 7.87,0 , 9.84, 2, Nguyen19;Nguyen18;Nguyen18
NGC5206, 5.80, 0, 7.18, 0, 9.40, 2, Nguyen19;Nguyen18;Nguyen18
NGC4395, 5.60, 0, 6.30, 0, 8.90, 1, denBrok15;denBrok15;Reines15 
M60-UCD1, 7.32, 0, 8.08, 0, , 0, Seth14;Seth14;None
M59co, 6.76, 0, 7.92, 0, , 0, Ahn17;Ahn17;none
VUCD3, 6.64, 0, 7.82, 0, , 0, Ahn17;Ahn17;none
M59-UCD3, 6.62, 0, 8.27, 0, , 0, Ahn18;Ahn18;none
FUCD3, 6.52, 0, 7.92, 0, , 0, Afanasiev18;Afanasiev18;none
NGC4578, 7.54, 0, 7.72, 0, 10.48, 2, Krajnovic18;Cote06_der;Cappellari13
NGC1023, 7.64, 0, 6.64, 0, 10.63, 2, Bower01;Graham09;Reines15
NGC3115, 8.96, 0, 7.18, 0, 10.87, 2, Emsellem99;Graham09;Graham09
NGC3384, 7.20, 0, 7.34, 0, 10.46, 2, Gebhardt03;Graham09;Reines15
NGC4026, 8.26, 0, 6.75, 0, 10.36, 2, Gultekin09;Graham09;Saglia16
NGC4697, 8.23, 0, 7.44, 0, 10.63, 2, Gebhardt03;Graham09;Reines15
IC1459, 9.39, 0, 7.69, 0, 11.40, 2, Saglia16;Lauer05_der;Saglia16
NGC4552, 8.70, 0, 6.96, 0, 11.42, 2, Saglia16;Lauer05_der;Saglia16
NGC4558/VCC1146, 8.30, 0, 8.02, 0, 10.03, 2, Pechetti17;Spengler17;Cappellari13
M33,  3.18, 1, 6.30, 0, 9.48, 1, Gebhardt01;Graham09;McConnachie12
NGC4474/VCC1242, 6.18, 1, 8.0, 0, 10.19, 2, Krajnovic18;Spengler17;Cappellari13
NGC4551/VCC1630, 6.90, 1, 7.64, 0,  10.26, 2, Krajnovic18;Spengler17;Cappellari13
NGC300, 5.00, 1, 6.02, 0, 9.44, 1, Neumayer12;Walcher05;Nguyen18
NGC428, 4.84, 1, 6.51, 0, 9.91, 1, Neumayer12;Walcher05;Nguyen18
NGC1042, 6.47, 1, 6.51, 0, 9.18, 1, Neumayer12;Walcher05;Nguyen18
NGC1493, 5.90, 1, 6.38, 0, 9.63, 1, Neumayer12;Walcher05;Nguyen18
NGC2139, 5.60, 1, 5.92, 0, 10.30, 1, Neumayer12;Walcher05;Nguyen18
NGC3423, 5.85, 1, 6.53, 0, 9.82, 1, Neumayer12;Walcher05;Nguyen18
NGC7418, 6.95, 1, 7.78, 0, 10.08, 1, Neumayer12;Walcher05;Nguyen18
NGC7424, 5.60, 1, 6.09, 0, 10.15, 1, Neumayer12;Walcher05;Nguyen18
NGC7793, 5.90, 1, 6.89, 0, 9.66, 1, Neumayer12;Walcher05;Nguyen18
VCC1254, 6.95, 1, 7.04, 0, 9.60, 2, Geha02;Graham09;Graham09
NGC3621, 6.50, 1, 7.00, 0, 10.18, 1, Barth09;Barth09;Jarrett03_der
IC342, 5.5, 1, 7.1, 0, 11.15, 1, Boker99;Boker99;Karachentsev13
NGC2778, 8.70, 1, 7.36, 0, 10.50, 2, Pechetti17;Lauer05_der;Cappellari13
NGC4379/VCC784, 8.55, 1, 7.68, 0, 10.27, 2, Pechetti17;Spengler17;Cappellari13
NGC4387/VCC828, 7.59, 1, 7.54, 0, 10.18, 2, Pechetti17;Spengler17;Cappellari13
NGC4474/VCC1242, 7.68, 1, 8.00, 0, 10.19, 2, Pechetti17;Spengler17;Cappellari13 
NGC4612/VCC1883, 8.11, 1, 6.95, 0, 10.27, 2, Pechetti17;Spengler17;Cappellari13
NGC4623/VCC1913, 8.20, 1, 8.11, 0, 10.17, 2,  Pechetti17;Cote06_der;Cappellari13
NGC4486, 9.80, 0, 8.30, 1, 11.78, 2, Gebhardt11;Neumayer12;Neumayer12
NGC4374, 9.18, 0, 7.80, 1, 11.56, 2, Bower98;Neumayer12;Neumayer12
NGC1332, 9.18, 0, 7.14, 1, 11.69, 2, Rusli11;Neumayer12;Nguyen18
NGC3031, 7.90, 0, 6.85, 1, 10.80, 1, Devereux03;Neumayer12;Querejeta15
NGC4261, 8.70, 0, 6.32, 1, 11.56, 2, Ferrarese96;Neumayer12;Neumayer12
NGC4649, 9.32, 0, 6.30, 1, 11.69, 2, Gebhardt03;Neumayer12;Neumayer12
NGC3998, 8.38, 0, 5.92, 1, 10.66, 2, deFrancesco06;Neumayer12;Jarrett00_der
NGC2787, 7.85, 0, 6.28, 1, 10.14, 2, Sarzi01;Neumayer12;Jarrett00_der
NGC3379, 8.08, 0, 4.15, 1, 10.83, 2, Shapiro06;Neumayer12;Neumayer12
NGC4342, 8.55, 0, 6.40, 1, 11.11, 2, Cretton99;Neumayer12;Neumayer12
NGC4291, 8.51, 0, 6.70, 1, 10.80, 2, Gebhardt03;Neumayer12;Neumayer12
